Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22227_001,165851.73,2412613.37,BRETAGNE,COTES D ARMOR,22,PLOUNERIN,22227,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,418,1.74166666666667
22228_001,175328,2409548,BRETAGNE,COTES D ARMOR,22,PLOUNEVEZ MOEDEC,22228,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1492,6.21666666666667
22228_002,172020,2411170,BRETAGNE,COTES D ARMOR,22,PLOUNEVEZ MOEDEC,22228,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,785,1.74444444444444
22237_002,258894.75,2402797.63,BRETAGNE,COTES D ARMOR,22,PLUDUNO,22237,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1535,3.41111111111111
22240_001,258221.99,2373863.09,BRETAGNE,COTES D ARMOR,22,PLUMAUGAT,22240,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1210,2.68888888888889
22241_001,234300,2355180,BRETAGNE,COTES D ARMOR,22,PLUMIEUX,22241,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1849,7.70416666666667
22245_001,181953.08,2420874.94,BRETAGNE,COTES D ARMOR,22,PLUZUNET,22245,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1761,3.91333333333333
22246_001,233330.05,2396121.25,BRETAGNE,COTES D ARMOR,22,POMMERET,22246,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2111,8.79583333333333
22247_001,190550,2430670,BRETAGNE,COTES D ARMOR,22,ROCHE JAUDY,22264,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2904,6.45333333333333
22248_001,197123.97,2416728.21,BRETAGNE,COTES D ARMOR,22,POMMERIT LE VICOMTE,22248,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1604,3.56444444444444
22249_001,184020,2401893,BRETAGNE,COTES D ARMOR,22,PONT MELVEZ,22249,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1682,7.00833333333333
22251_002,219500.1,2408489.07,BRETAGNE,COTES D ARMOR,22,PORDIC,22251,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4559,10.1311111111111
22255_001,228250,2365140,BRETAGNE,COTES D ARMOR,22,PRENESSAYE,22255,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1285,5.35416666666667
22256_001,196142.92,2425352.55,BRETAGNE,COTES D ARMOR,22,PONTRIEUX,22250,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3032,12.6333333333333
22258_001,230053.26,2391682.14,BRETAGNE,COTES D ARMOR,22,QUESSOY,22258,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1769,3.93111111111111
22259_003,272892.48,2395102.95,BRETAGNE,COTES D ARMOR,22,QUEVERT,22259,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1972,8.21666666666667
22266_002,180857,2375109,BRETAGNE,COTES D ARMOR,22,ROSTRENEN,22266,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4059,16.9125
22272_002,197841,2408955,BRETAGNE,COTES D ARMOR,22,SAINT AGATHON,22272,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2220,4.93333333333333
22273_001,240000,2405355,BRETAGNE,COTES D ARMOR,22,SAINT ALBAN,22273,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2086,4.63555555555556
22277_003,211550.84,2390244.12,BRETAGNE,COTES D ARMOR,22,SAINT BRANDAN,22277,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3738,8.30666666666667
22277_004,214700,2388410,BRETAGNE,COTES D ARMOR,22,SAINT BRANDAN,22277,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1104,4.6
22278_001,225256.24,2401482.9,BRETAGNE,COTES D ARMOR,22,SAINT BRIEUC,22278,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,6833,28.4708333333333
22278_005,220979.91,2403350,BRETAGNE,COTES D ARMOR,22,SAINT BRIEUC,22278,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4262,17.7583333333333
22278_009,222051.02,2403277.59,BRETAGNE,COTES D ARMOR,22,SAINT BRIEUC,22278,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3872,8.60444444444445
22281_001,224892,2389320,BRETAGNE,COTES D ARMOR,22,SAINT CARREUC,22281,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,733,3.05416666666667
22282_004,261091.5,2412735.41,BRETAGNE,COTES D ARMOR,22,SAINT CAST LE GUILDO,22282,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2994,12.475
22282_006,261899.41,2409693.28,BRETAGNE,COTES D ARMOR,22,SAINT CAST LE GUILDO,22282,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2971,6.60222222222222
