Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
56140_001,215771.14,2335087.45,39,1604,38.1775
56042_001,216006.03,2325212.26,31.45,1247,26.825
56260_002,216022.81,2307992.05,28.7,6630,4.5475
22001_001,216304.35,2379168.14,35.2,1300,69.64
56260_007,216352.98,2306568.99,20,5371,4.255
56132_001,216425,2314570,21,1895,12.7125
56260_008,216627.79,2308940.14,21.5,6262,2.92
56260_016,216934.83,2305624.87,18.7,3535,6.6175
56017_001,217397,2332690,24.8,797,12.34
56260_017,217517.17,2310057.45,26.9,5771,8.2475
22055_001,218105.82,2416689.72,40,3470,71.5625
22171_001,218205.26,2391427.9,24.7,1694,19.4325
56260_011,218388.56,2305907.69,25.9,2992,6.875
22007_003,218859.75,2413778.09,31.1,4346,37.41
56047_002,219066.1,2350139.1,31.1,560,33.1775
56243_003,219199.57,2302419.24,24.1,2317,35.9425
22325_002,219350,2418280,23,2949,48.3275
22171_002,219405.46,2394011.99,23,1870,21.5375
22251_002,219500.1,2408489.07,30.5,3870,28.7
56260_026,219535.2,2308452.8,31.5,5632,5.6125
56206_001,219685.64,2309979.28,26,2548,6.2975
22215_006,220315.5,2398052.42,41.4,1168,12.8825
56205_001,220358.68,2296070.78,30.6,1300,46.9775
22136_002,220388,2363137,33,1049,53.71
22215_003,220433.42,2400888.49,22.4,4026,17.295
22278_005,220979.91,2403350,27.2,3694,11.2175
22187_002,221208.12,2406775.02,35,1873,34.055
56260_006,221275.01,2307366.03,58.6,3030,23.0875
56222_001,221300.94,2327888.39,33.65,1900,50.505
56198_001,221447.01,2353322.08,17.75,1151,27.7125
22155_001,221470.66,2372400.24,23.15,1284,48.4825
22136_001,221553.53,2365352.14,16,4661,19.27
56240_006,221781,2291792,19.5,1101,81.0475
22278_009,222051.02,2403277.59,18.7,3815,1.6725
22215_007,222170,2401700,20.45,2755,2.44
22215_002,222959.67,2401124.96,18.6,4657,3.6225
56157_001,223025,2322155,23,754,24.21
22203_001,223038.98,2384820.03,20.15,1392,36.6975
22187_001,223240.81,2404196.58,32,11997,8.8425
22176_001,223750,2394900,28.8,2872,22.525
56137_001,223880,2316400,25,1706,36.7525
22187_005,224051.78,2405443.24,25.4,2664,24.2625
56251_002,224121.77,2304583.66,27.4,2905,30.7175
22360_001,224758.95,2399050.94,44,5817,18.0125
56024_001,224777.11,2352828.78,26.8,1181,49.405
22281_001,224892,2389320,18.6,590,7.8
56027_001,224985.73,2336966.73,31.5,720,46.025
56231_001,225145.01,2312012,41,1989,23.5925
22278_001,225256.24,2401482.9,22.3,6461,7.4525
22219_001,225970.95,2377547.94,33.65,931,39.585
22190_004,225986,2405546,11.7,3599,26.2775
56160_001,226145,2343475,19,844,49.02
22106_002,226208.67,2400386.55,16,2531,2.555
56248_001,227575,2298455,31.8,2470,27.77
22176_003,227765.09,2394398.77,32,1053,19.3625
22039_002,227807,2360508,27,1084,31.3675
56172_001,227829,2327828,25.8,1110,27.58
22255_001,228250,2365140,19.5,408,34.2675
22106_004,228696.67,2399262.53,21,2987,15.81
22079_002,228943.87,2386873.85,36.3,1090,42.64
56024_002,229137.88,2355404.35,26,221,24.1825
56259_003,229875,2300515,32.5,1409,37.1825
56070_001,229942.09,2338186.45,26.1,561,32.085
22184_001,230010,2382700,22,835,36.795
56052_001,230040,2292455,26,2652,71.7925
22258_001,230053.26,2391682.14,21.9,1556,29.555
56053_002,230706,2313820,39,3126,39.99
22389_002,230947.15,2398932.53,18.2,1760,13.2675
56247_001,231763,2307948,22,1555,19.66
22100_001,231810,2376100,24,1605,50.9075
44125_004,232657,2275654,30.6,3305,101.15
44049_001,233183.92,2265645.28,21.1,4605,35.01
22246_001,233330.05,2396121.25,26.5,1778,22.3475
56261_001,233630,2311225,30.7,863,25.7225
22241_001,234300,2355180,21.1,1142,63.335
56102_001,234362.78,2340871.51,33.5,1177,28.27
44125_002,234602,2275932,38,802,15.6975
22191_001,235257.22,2380673.12,22.85,664,54.2675
56091_001,235358.16,2339106.59,18.8,1205,7.1
44010_001,235399.82,2264740.53,29.2,2874,87.1975
44211_001,235776.32,2272235.42,34.5,5434,48.7825
56002_001,236314,2295282,45.9,3680,60.9375
44097_001,236347.29,2277769.04,24.6,1791,33.315
22044_001,236393.99,2397691.96,33.6,2048,40.13
56155_001,237786.66,2287112.29,21,1967,27.845
22046_001,238055.1,2378181.37,28.3,787,30.855
56244_003,238265,2324809,35.5,1108,25.525
44010_002,238438.19,2263470.95,26,4085,22.865
56079_001,238708.17,2337869.65,36.8,1196,43.0825
44097_002,238714.47,2277484.13,25.85,2002,22.75
22122_001,238883.16,2366171.45,31.35,339,31.01
22186_001,239196.69,2409755.32,26.3,3904,96.1375
56219_001,239245.02,2318835.96,39.5,601,25.3775
56149_001,239522.06,2298629.97,32.4,1140,30.07
22273_001,240000,2405355,24.5,1380,38.2125
44055_005,240077.61,2264455.28,25.2,4603,8.9225
44069_001,240475.17,2270263.54,25.5,4787,18.18
56184_001,240885.3,2306519.08,23.9,3624,39.835
44183_001,241178.01,2276405,20.6,1393,14.9975
44055_004,241262.22,2264264.39,24,4386,24.55
85113_001,241328.23,2201955.31,47.3,4237,228.2025
44069_003,241725,2268850,40.5,1964,21.09
22062_001,241956.29,2366390.8,35.5,238,26.15
44055_015,242115.66,2265270.53,26.7,4918,4.8625
22140_002,242473.76,2389263.78,26.1,1261,41.83
22093_004,242566.27,2394909.19,30.5,3905,49.4075
56129_001,242610,2359900,21.5,738,39.4675
56244_005,242653,2323425,32.6,454,16.0475
44006_002,243065.8,2281115.55,26.1,691,16.5075
22186_002,243230.21,2409981.58,27.5,1192,52.7775
44055_014,243410.64,2265676.57,26.3,2566,3.055
56004_001,243493.01,2292807,28,406,31.41
22333_001,243525,2371285,21,211,22.295
56037_001,244071.96,2327975.95,34.6,1819,43.4875
44055_012,244112.85,2266798.09,26.3,1485,9.63
56080_001,245146.49,2347106.6,32,1140,71.2675
44055_008,245420,2264700,18.3,2318,5.4
56165_006,245655,2337125,25,3449,26.6925
56124_001,245709.09,2322248.84,31.65,2740,37.0525
44132_004,246034.63,2262304.22,20.8,5588,30.365
56058_001,246244.33,2285850.36,46.8,2347,42.8975
56153_001,246449.34,2296657.62,25.5,1257,23.0425
22147_001,246587.28,2365984.67,25,1571,34.065
44132_003,246601.07,2261247.61,21.2,2837,16.54
56165_001,246832.76,2334778.85,39.9,2861,29.255
22193_001,246950,2390610,24.5,777,28.0225
22054_001,247248.99,2413802.05,30.5,3464,36.385
56159_001,247257.47,2317258.22,30.95,995,28.39
44151_002,247280,2267320,28.3,2548,20.195
22046_002,247310.78,2376967.93,32,586,46.99
44072_002,247314.55,2278436.94,26,864,19.46
44132_002,248021.9,2261259.09,26.5,2821,2.6875
56111_001,248146,2301133,26.8,613,25.22
22077_001,248693,2402783,40.5,919,30.2875
