Name,Easting,Northing,Height,Population,Area
56008_001,206319,2304564,33,3310,15654
22158_002,206422.37,2368337.41,26,1349,21699
56167_001,207078.36,2309321.8,23,1683,8043
22121_001,207803,2418012,27.25,2440,18869
22182_001,209018.98,2406523,20.1,2600,20647
56141_002,209222.42,2326451.23,34.95,577,11194
56164_002,209314.22,2308985.85,30.5,1886,5234
56174_002,209448.4,2330624.73,31.3,881,10712
56214_002,210544.01,2292440,31.8,1584,38268
56213_001,210600,2358590,23,784,15202
56164_001,211003,2307327.82,36.5,1709,9550
22277_003,211550.84,2390244.12,48.8,3198,16982
56151_003,211850,2354050,27,1833,20577
22287_001,212320,2398279,31.05,1409,19402
56003_003,212333,2304476,22.4,2974,9927
56158_001,213431.48,2313008.91,27,3048,10089
56067_001,213529.68,2318736.02,39,2514,24381
22117_001,213540.36,2412329.85,21.8,1205,11758
56117_001,213657.87,2332718.98,25.35,3304,4953
56144_001,214294,2345524,27.5,1334,28130
56240_008,214620,2292625,27.5,2501,30604
22277_004,214700,2388410,35.6,928,10562
56260_019,214749.08,2308861.17,25.8,2008,3462
56140_001,215771.14,2335087.45,39,1604,15280
56042_001,216006.03,2325212.26,31.45,1247,10730
56260_002,216022.81,2307992.05,28.7,6630,1819
22001_001,216304.35,2379168.14,35.2,1308,28569
56260_007,216352.98,2306568.99,20,5371,1702
56132_001,216425,2314570,21,1895,5085
56260_008,216627.79,2308940.14,21.5,6262,1168
56260_016,216934.83,2305624.87,18.7,3535,2646
56017_001,217397,2332690,24.8,797,4936
56260_017,217517.17,2310057.45,26.9,5771,3299
22055_001,218105.82,2416689.72,40,3470,47063
22171_001,218205.26,2391427.9,24.7,1694,7771
56260_011,218388.56,2305907.69,25.9,2992,2750
22007_003,218859.75,2413778.09,31.1,4346,16173
56047_002,219066.1,2350139.1,31.1,560,13276
56243_003,219199.57,2302419.24,24.1,2318,14278
22325_002,219350,2418280,23,2949,20048
22171_002,219405.46,2394011.99,23,1870,8736
22251_002,219500.1,2408489.07,30.5,3870,11822
56260_026,219535.2,2308452.8,31.5,5632,2248
56206_001,219685.64,2309979.28,26,2548,2519
22215_006,220315.5,2398052.42,41.4,1168,5152
56205_001,220358.68,2296070.78,30.6,1300,18788
22136_002,220388,2363137,33,1052,21644
22215_003,220433.42,2400888.49,22.4,4026,6917
22278_005,220979.91,2403350,27.2,3694,4486
22187_002,221208.12,2406775.02,35,1877,16293
56260_006,221275.01,2307366.03,58.6,3030,9256
56222_001,221300.94,2327888.39,33.65,1900,20216
56198_001,221447.01,2353322.08,17.75,1151,11076
22155_001,221470.66,2372400.24,23.15,1296,21736
22136_001,221553.53,2365352.14,16,4661,7713
56240_006,221781,2291792,19.5,1101,41854
22278_009,222051.02,2403277.59,18.7,3815,669
22215_007,222170,2401700,20.45,2755,976
22215_002,222959.67,2401124.96,18.6,4657,1449
56157_001,223025,2322155,23,754,9680
22203_001,223038.98,2384820.03,20.15,1392,14664
22187_001,223240.81,2404196.58,32,11997,3631
22176_001,223750,2394900,28.8,2872,9010
56137_001,223880,2316400,25,1706,14697
22187_005,224051.78,2405443.24,25.4,2665,8897
56251_002,224121.77,2304583.66,27.4,2905,12285
22360_001,224758.95,2399050.94,44,5817,7526
56024_001,224777.11,2352828.78,26.8,1181,19764
22281_001,224892,2389320,18.6,590,3120
56027_001,224985.73,2336966.73,31.5,720,18432
56231_001,225145.01,2312012,41,1988,9434
22278_001,225256.24,2401482.9,22.3,6461,3059
22219_001,225970.95,2377547.94,33.65,931,15824
22190_004,225986,2405546,11.7,3614,10636
56160_001,226145,2343475,19,846,19609
22106_002,226208.67,2400386.55,16,2531,1022
56248_001,227575,2298455,31.8,2470,11104
22176_003,227765.09,2394398.77,32,1053,7748
22039_002,227807,2360508,27,1084,12557
56172_001,227829,2327828,25.8,1110,11032
22255_001,228250,2365140,19.5,408,13702
22106_004,228696.67,2399262.53,21,2987,6784
22079_002,228943.87,2386873.85,36.3,1091,17094
56024_002,229137.88,2355404.35,26,221,9673
56259_003,229875,2300515,32.5,1409,14876
56070_001,229942.09,2338186.45,26.1,561,12862
22184_001,230010,2382700,22,836,14802
56052_001,230040,2292455,26,2652,33738
22258_001,230053.26,2391682.14,21.9,1556,11837
56053_002,230706,2313820,39,3127,16074
22389_002,230947.15,2398932.53,18.2,1760,5305
56247_001,231763,2307948,22,1555,7882
22100_001,231810,2376100,24,1605,20353
22246_001,233330.05,2396121.25,26.5,1780,8938
56261_001,233630,2311225,30.7,863,10282
22241_001,234300,2355180,21.1,1142,25334
56102_001,234362.78,2340871.51,33.5,1177,11293
22191_001,235257.22,2380673.12,22.85,697,22719
56091_001,235358.16,2339106.59,18.8,1205,2840
56002_001,236314,2295282,45.9,3681,24551
22044_001,236393.99,2397691.96,33.6,2048,16119
56155_001,237786.66,2287112.29,21,1967,11454
22046_001,238055.1,2378181.37,28.3,784,12284
56244_003,238265,2324809,35.5,1108,10210
56079_001,238708.17,2337869.65,36.8,1196,17254
22122_001,238883.16,2366171.45,31.35,339,12400
22186_001,239196.69,2409755.32,26.3,3906,46170
56219_001,239245.02,2318835.96,39.5,601,10151
56149_001,239522.06,2298629.97,32.4,1140,12025
22273_001,240000,2405355,24.5,1380,15273
56184_001,240885.3,2306519.08,23.9,3624,15934
22062_001,241956.29,2366390.8,35.5,239,10572
22140_002,242473.76,2389263.78,26.1,1261,16697
22093_004,242566.27,2394909.19,30.5,3905,19789
56129_001,242610,2359900,21.5,750,15806
56244_005,242653,2323425,32.6,457,6444
22186_002,243230.21,2409981.58,27.5,1192,33364
56004_001,243493.01,2292807,28,406,12564
22333_001,243525,2371285,21,211,8917
56037_001,244071.96,2327975.95,34.6,1818,17393
56080_001,245146.49,2347106.6,32,1156,28972
56165_006,245655,2337125,25,3449,10635
56124_001,245709.09,2322248.84,31.65,2740,14833
56058_001,246244.33,2285850.36,46.8,2662,21319
56153_001,246449.34,2296657.62,25.5,1257,9217
22147_001,246587.28,2365984.67,25,1571,13697
56165_001,246832.76,2334778.85,39.9,2861,11745
22193_001,246950,2390610,24.5,771,11206
22054_001,247248.99,2413802.05,30.5,3464,14217
56159_001,247257.47,2317258.22,30.95,995,11404
22046_002,247310.78,2376967.93,32,586,18807
56111_001,248146,2301133,26.8,616,10110
22077_001,248693,2402783,40.5,919,12115
22309_003,249440,2369790,27,309,13589
56153_003,249560,2298390,38,553,10590
56123_002,249834,2309595,24,1045,9545
22179_002,250592.57,2415227.63,15,693,18558
56147_001,250975,2290600,37,3183,19132
22076_001,251647.02,2405360.49,32,1069,20356
56123_001,251734,2308440,20.1,1081,7391
22179_004,252715.62,2413174.84,27,1649,10154
22051_001,253600,2386206,32.7,1186,25345
56028_001,253754.78,2302356.01,26.8,908,14887
56145_003,253978.04,2347587.64,36.1,488,15805
22084_005,255450,2389970,23,788,6713
56200_001,255629,2324349,24.7,992,21936
22371_001,255667.84,2365596.41,30.5,803,21366
56032_001,256265,2337330,38.5,1392,21678
56127_001,256340,2353800,36.8,1712,17203
22084_006,256978.01,2391169.99,33,542,15180
56221_001,257380,2308120,32.9,931,12421
22179_006,258033.28,2416970.67,32,544,52005
22240_001,258221.99,2373863.09,22.6,670,19285
22020_001,258690.01,2378074.98,28,1874,19333
22237_002,258894.75,2402797.63,26.1,1054,11613
22143_001,259678,2409450,27.5,1156,9897
35211_001,260557,2346081,35,512,9636
22282_004,261091.5,2412735.41,19,2755,16502
56180_001,261250,2334950,26,559,12123
35117_001,261590,2359250,35,879,23244
56001_001,261891.32,2302025.38,32.7,1463,10331
22282_006,261899.41,2409693.28,26,1081,14542
22180_004,262134.4,2390022.16,38.8,1033,11827
22172_003,262565,2400350,32,3381,24609
56212_001,262615.37,2292020.28,26.15,910,11351
35297_001,264181,2363986,31,2916,18431
22032_002,264230.77,2374383.68,31.25,366,14757
56194_002,265192.07,2297565.16,27,1288,18313
56033_002,265200,2321390,21.8,1230,12584
22097_001,266424.75,2390810.69,25,1141,10597
22048_001,266573.04,2397184.9,27,1002,12182
56033_001,266804.15,2324510.89,27.5,396,10734
56075_004,266919.01,2335128,38,1357,10406
35236_001,267421,2304801,35,7101,17902
22032_001,267708.36,2376471.32,25.5,1347,16237
56075_001,267787.28,2331940.53,29.5,2257,14701
35234_002,267938,2371045,32,865,15652
35223_002,268470,2340000,25,921,12651
35236_003,269197,2306062,24,2245,6333
35328_001,269544,2317674,32,1478,17436
35013_001,270163,2309726,31,1085,12641
35223_001,271094,2345127,37,913,11811
35236_004,271705,2411437,27,2717,13981
35184_002,272040,2363200,38,2693,18440
35287_002,272200,2413000,24,2210,33913
22021_001,272246.9,2385217.49,33.4,1282,19283
22364_001,272750,2391610,28,1011,5757
22259_003,272892.48,2395102.95,27.3,1349,11747
35133_002,273970,2355881,22,1675,17862
22123_001,274109.22,2391688.26,54.5,9484,10025
22050_002,274554.77,2393463.81,26.15,4811,2126
35169_001,274651,2339415,23,485,8309
35093_008,275079,2412546,21,2334,1124
35093_006,275682,2412131,28,2751,1072
35340_001,275692,2345919,31,731,11281
35093_005,275890,2413409,32,4166,18331
35228_003,275950,2406050,19,3265,7773
35093_002,276225,2410991,31,3294,7343
35175_001,276914,2330721,38,2104,22448
35237_001,277643,2311348,27,1126,19938
22213_002,278145,2401640,23.5,1922,10597
35288_014,278516,2414500,21,2212,748
22118_002,278669.8,2390866.71,30.45,1828,13108
35288_019,279225,2412900,22,3745,2373
35187_001,279395,2349949,27,1279,13096
35288_022,279706,2414076,23,3153,2469
35288_001,279882,2413295,31,1846,415
35016_002,280000,2341656,27,507,9246
35288_007,280210,2415092,26,1564,403
35288_010,280283,2412438,26,5955,1425
35188_002,280300,2355980,40,4080,15547
35319_002,280744,2346924,27,729,6271
35288_008,281155,2414272,28,5529,1076
35219_002,281183,2322108,37,1508,19088
35219_001,281234,2317926,31,937,14506
35307_001,281309,2374163,55,2788,37332
35288_009,281348,2415816,16,2958,5648
35288_012,281465,2411281,29,1762,4413
35288_025,281825,2413105,21,1630,1775
