did,oid,eid,sid,ent,CO2,NOx,VOC,PM
431720,383784,,0,1,208.4787908,1.99044543,0.205700831,0.021288901
431720,383787,,0,1,708.4369892,6.476513743,0.626289604,0.074758129
431720,383793,,0,1,140.7692457,1.348366295,0.137564294,0.010189583
431720,383814,,0,1,293.6941735,2.875404707,0.301957444,0.012884323
431720,383817,,0,1,331.8931894,2.721875312,0.225512197,0.058048087
431720,383823,,0,1,88.79813575,0.861398587,0.086710759,0.004493916
431720,383829,,0,1,239.1907406,2.345080553,0.23904553,0.010374741
431720,383844,,0,1,163.8676557,1.589867618,0.160070725,0.008275131
431720,383847,,0,1,40.52996488,0.402177536,0.078764743,0.00266619
431720,383853,,0,1,33.40128589,0.326135455,0.033184082,0.001580736
431720,383856,,0,1,153.6459138,1.500223075,0.152646778,0.007271387
431720,383859,,0,1,120.2446309,1.174087647,0.119462697,0.005690651
431720,383862,,0,1,106.8841358,1.043633576,0.106189067,0.005058363
431720,383865,,0,1,213.7682036,2.087266742,0.212378123,0.010116705
431720,383886,,0,1,30.89894501,0.284732797,0.027131497,0.002765584
431720,383889,,0,1,152.3435713,1.304242257,0.118615137,0.021135603
431720,383901,,0,1,252.9720389,2.453011388,0.246825403,0.012878681
431720,383904,,0,1,73.44774017,0.718992942,0.09126939,0.003406996
431720,383910,,0,1,443.5936156,3.616461806,0.303042906,0.081966683
431720,383916,,0,1,67.37462568,0.65716669,0.066560788,0.00314029
431720,383985,,0,1,139.6456089,1.3816171,0.14029592,0.004258029
431720,383991,,0,1,93.09707696,0.921078093,0.093530614,0.002838688
431720,383994,,0,1,518.6837013,5.13172073,0.521099132,0.015815541
431720,384003,,0,1,305.8053588,2.796637572,0.264203334,0.027508053
431720,384006,,0,1,40.11532844,0.390478432,0.039749088,0.002058966
431720,384012,,0,1,80.23062057,0.780956641,0.07949817,0.004117922
431720,384021,,0,1,534.9101935,5.206611977,0.529993923,0.0274657
431720,384027,,0,1,141.6861772,1.374297472,0.139320906,0.007626945
431720,384033,,0,1,53.21758593,0.537801446,0.05405829,7.35E-05
431720,384081,,0,1,66.67785503,0.67318737,0.067598613,0.000140803
431720,384090,,0,1,271.5808167,2.241732897,0.180347942,0.044449173
431720,384093,,0,1,55.73593194,0.533984894,0.053347212,0.003484894
431720,384105,,0,1,200.6002827,1.95253279,0.198749114,0.010302571
431720,384111,,0,1,180.5190886,1.757153607,0.178870913,0.009265384
431720,384114,,0,1,23.30594171,0.237374563,0.02633719,0.002626075
431720,384120,,0,1,239.0729259,1.844499861,0.141808154,0.056128607
431720,384123,,0,1,180.5190304,1.757153261,0.178870904,0.009265365
431720,384129,,0,1,46.44264326,0.469839113,0.050760719,3.22E-05
431720,384138,,0,1,315.7295212,2.6012016,0.209941818,0.05261987
431720,384144,,0,1,219.6560273,1.55517783,0.106733403,0.054201792
431720,384432,,0,1,205.811427,2.044136704,0.207444677,0.005266775
431720,384438,,0,1,192.5332719,1.912256926,0.19406115,0.004926984
431720,384441,,0,1,73.02984591,0.725338697,0.073609396,0.001868857
431720,384447,,0,1,152.698809,1.516617597,0.153910568,0.003907611
431720,384453,,0,1,53.11263302,0.527519188,0.053534111,0.00135917
431720,384459,,0,1,112.864335,1.120978217,0.113759985,0.002888233
431720,384465,,0,1,106.2252502,1.055038264,0.107068219,0.002718338
431720,384471,,0,1,106.2252455,1.055038249,0.107068219,0.002718334
431720,384477,,0,1,66.39079189,0.659398988,0.066917639,0.001698963
431720,384483,,0,1,152.6988021,1.516617562,0.153910567,0.003907608
431720,384492,,0,1,192.5332622,1.912256861,0.194061148,0.004926981
431720,384495,,0,1,205.8114378,2.044136765,0.207444678,0.005266779
431720,384507,,0,1,93.84585546,0.898943134,0.091712406,0.006788168
431720,384534,,0,1,134.078104,1.277939021,0.130460869,0.010592588
431720,384597,,0,1,87.15076939,0.830660374,0.084799565,0.006885183
431720,384606,,0,1,127.3741965,1.214042055,0.123937825,0.010062958
431720,384819,,0,1,124.7661923,1.266576217,0.128075957,0
431720,384846,,0,1,92.89017514,0.923890966,0.093738023,0.002211944
431720,384852,,0,1,345.0204237,3.431593645,0.348169764,0.008215721
431720,384858,,0,1,745.862921,7.054493785,0.680554311,0.046957205
431720,384861,,0,1,89.04791117,0.818832315,0.076078698,0.007263612
431720,384870,,0,1,282.701972,2.107896308,0.152189688,0.068413898
431720,384873,,0,1,265.400291,2.639687266,0.267822893,0.006319767
431720,384882,,0,1,66.35005701,0.659921704,0.06695572,0.001579939
431720,384888,,0,1,179.1451889,1.781788731,0.180780444,0.004265858
431720,384894,,0,1,126.0651307,1.253851405,0.127215873,0.003001887
431720,384900,,0,1,92.89009654,0.923890513,0.093738012,0.002211916
431720,385023,,0,1,336.0882733,2.521095164,0.189483383,0.080115326
431720,385026,,0,1,91.87002027,0.933719793,0.094400173,0
431720,385029,,0,1,102.2465792,0.975536299,0.094992473,0.005786472
431720,385032,,0,1,124.6807345,1.267191023,0.128114515,0
431720,385035,,0,1,146.6930038,1.369375098,0.13336142,0.010642585
431720,385038,,0,1,164.0535978,1.667356573,0.168571729,0
431720,385041,,0,1,174.5249159,1.72245139,0.174090964,0.005496732
431720,385044,,0,1,124.6807308,1.267191124,0.12811452,0
431720,385047,,0,1,68.23844659,0.682198762,0.069060492,0.000654658
431720,385050,,0,1,94.55109684,0.930839582,0.093829212,0.003154462
431720,385053,,0,1,167.3916924,1.511128964,0.134616008,0.014497827
431720,385056,,0,1,320.4233767,3.108162331,0.316488521,0.018116956
431720,385059,,0,1,140.9914647,1.419161291,0.142100973,0.000660565
431720,385062,,0,1,180.987697,1.720963041,0.175738538,0.014878509
431720,385065,,0,1,296.8856133,2.988951294,0.302576533,0.002947785
431720,385068,,0,1,127.3617276,1.211048178,0.123667864,0.010470064
431720,385071,,0,1,122.7133416,1.155184773,0.113452001,0.00771868
431720,385074,,0,1,187.6909636,1.784702556,0.182247378,0.015429567
431720,385077,,0,1,97.2868989,0.952310808,0.094572259,0.003311831
431720,385080,,0,1,140.7682238,1.338526926,0.136685534,0.011572175
431720,385128,,0,1,49.13705014,0.462825064,0.046208805,0.004102027
431720,385134,,0,1,207.9280799,1.991282174,0.203097686,0.01507119
431720,385137,,0,1,125.2655705,1.183542263,0.118648856,0.010203091
431720,385146,,0,1,101.5802606,0.86749881,0.076083023,0.015044617
431720,385158,,0,1,123.5951723,1.173499697,0.118383753,0.00966573
431720,385221,,0,1,53.44382632,0.521827152,0.053094801,0.002529769
431720,385224,,0,1,280.5715463,2.739542209,0.278746406,0.013278433
431720,385230,,0,1,171.8294181,1.529267587,0.142083771,0.02096535
431720,385239,,0,1,173.4249376,1.277544226,0.091823402,0.044873557
431720,385245,,0,1,146.9656567,1.434995993,0.146009963,0.006955239
431720,385248,,0,1,207.0879428,2.022039612,0.205741304,0.009800559
431720,385254,,0,1,140.2854135,1.369768974,0.139373147,0.006639098
431720,385263,,0,1,106.8841277,1.043633529,0.106189066,0.00505836
431720,385266,,0,1,146.9656567,1.434995993,0.146009963,0.006955239
431720,385272,,0,1,80.16308675,0.782725095,0.079641798,0.003793767
431720,385278,,0,1,100.5483704,0.809211645,0.064814509,0.018447942
